variable,min,mean,max,n_missing,prop_missing
bdod_0-5cm_mean,0.683,1.303,1.551,19111,0.154
cattle_density,0,29.657,557.926,18537,0.149
cec_0-5cm_mean,4.647,18.212,72.283,19110,0.154
cfvo_0-5cm_mean,0.623,7.534,35.219,19110,0.154
clay_0-5cm_mean,10.77,29.277,61.726,19110,0.154
dist_to_lake_1,0,101159.947,626648.25,0,0
dist_to_lake_10,0,145357.135,635002.75,0,0
dist_to_lake_5,0,114861.586,635002.75,0,0
dist_to_lake_all,0,63994.686,383994.031,0,0
dist_to_river_10,0,39576.034,312548.75,0,0
elevation,0,916.931,5113.2,15685,0.126
goat_density,0,30.539,1471.969,18549,0.149
nitrogen_0-5cm_mean,0.496,1.801,10.039,19110,0.154
phh2o_0-5cm_mean,4.442,6.347,9.475,19110,0.154
sand_0-5cm_mean,13.487,51.923,86.313,19110,0.154
sheep_density,0,13.652,1462.856,18549,0.149
silt_0-5cm_mean,2.364,18.8,51.063,19110,0.154
slope,0,4.168,33.818,15701,0.126
soc_0-5cm_mean,4.118,24.536,155.266,19111,0.154
travel_time_to_healthcare,0.181,81.473,1729.832,12133,0.098
